FILE,SIZE,GStime,GBtime,STtime,NMS,DTtime,Hystime,TOTAL,RESULT,GstimeP,GbtimeP,SttimeP,NMSP,DttimeP,HystimeP
360floralflaves-uLS5dH7thaI-unsplash(1).jpg,769145,47145.3,1369880,485214,141694,29796.8,42207.7,2115940,,2.23%,64.74%,22.93%,6.70%,1.41%,1.99%
360floralflaves-uLS5dH7thaI-unsplash(2).jpg,3737051,168290,6441180,2285210,677130,135913,181169,9888890,,1.70%,65.14%,23.11%,6.85%,1.37%,1.83%
360floralflaves-uLS5dH7thaI-unsplash.jpg,98448,3580.52,152164,51263.6,14393.4,3485.26,5830.9,230717,,1.55%,65.95%,22.22%,6.24%,1.51%,2.53%
ACD24-0161-064~orig.jpg,11510581,142444,5082200,1795590,534137,106645,154734,7815750,,1.82%,65.03%,22.97%,6.83%,1.36%,1.98%
a-chosen-soul-radulW4SHhA-unsplash(1).jpg,215901,27443.3,511378,162178,41717.3,10906.3,16023.1,769646,,3.57%,66.44%,21.07%,5.42%,1.42%,2.08%
a-chosen-soul-radulW4SHhA-unsplash(2).jpg,295838,20728.1,804450,250907,64419.2,16965.3,23192.3,1180660,,1.76%,68.14%,21.25%,5.46%,1.44%,1.96%
a-chosen-soul-radulW4SHhA-unsplash(3).jpg,4263924,501314,12832600,4159680,1205240,261060,299242,19259100,,2.60%,66.63%,21.60%,6.26%,1.36%,1.55%
a-chosen-soul-radulW4SHhA-unsplash.jpg,46099,1277.17,57145.3,19011.8,4879.76,1368.89,2756.84,86439.8,,1.48%,66.11%,21.99%,5.65%,1.58%,3.19%
behnam-norouzi-I5eKsDa8iwY-unsplash.jpg,122422,3191.43,135293,42631.4,10152.2,3252.92,7823.37,202344,,1.58%,66.86%,21.07%,5.02%,1.61%,3.87%
benjamin-chambon-0vnmC_UWuMg-unsplash.jpg,776405,45017.2,1369440,448098,112688,29632.2,45244.9,2050120,,2.20%,66.80%,21.86%,5.50%,1.45%,2.21%
benjamin-chambon-SRXkNrlTalM-unsplash.jpg,1185847,39583.3,1368820,453047,117126,33760.4,74168.9,2086510,,1.90%,65.60%,21.71%,5.61%,1.62%,3.55%
bernard-hermant-nHRXNv2qeDE-unsplash(1).jpg,2035689,37773.4,1370570,493306,124177,37739.4,115899,2179460,,1.73%,62.89%,22.63%,5.70%,1.73%,5.32%
bernard-hermant-nHRXNv2qeDE-unsplash(2).jpg,3100276,50872.9,2156380,763037,195348,57642.4,169257,3392540,,1.50%,63.56%,22.49%,5.76%,1.70%,4.99%
bernard-hermant-nHRXNv2qeDE-unsplash(3).jpg,293714,3616.4,151860,55028.4,13929.6,4578.41,15845.7,244859,,1.48%,62.02%,22.47%,5.69%,1.87%,6.47%
bernard-hermant-nHRXNv2qeDE-unsplash.jpg,8668552,166333,5948110,2134100,562305,152776,401111,9364730,,1.78%,63.52%,22.79%,6.00%,1.63%,4.28%
